product_id,seller_id,title,current_price,was_price,location,image_url,image_path,product_url,tags
7993370378300,6659548643388,,"₪1,800",,הרצליה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010762_20250424195741_large.jpg?v=1745514113,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010762_20250424195741_large.jpg?v=1745514113,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-5705,
7384050794556,6649236095036,,"₪1,700",,גבעת זאב,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_02104_20220705225806_c7ab63ee-f6fd-4b0c-aead-a64af285aa04_large.jpg?v=1717681673,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_02104_20220705225806_c7ab63ee-f6fd-4b0c-aead-a64af285aa04_large.jpg?v=1717681673,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמלי-1,
7993353830460,6823176372284,,"₪1,250",,חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010551_20250424193322_large.jpg?v=1745512626,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010551_20250424193322_large.jpg?v=1745512626,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופנים-29-אינצ,
7993353306172,7138637381692,,"₪1,300",,ראש העין,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010836_20250424192437_large.jpg?v=1745512579,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010836_20250424192437_large.jpg?v=1745512579,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-מקצועיות-13,
7993319161916,6858052304956,,"₪1,250",,רמת גן,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010650_20250424182559_large.jpg?v=1745509177,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010650_20250424182559_large.jpg?v=1745509177,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/הוברבורד-222,
7985852121148,7090176786492,,"₪1,500",,רעננה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010484_20250415111514_large.jpg?v=1744705189,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010484_20250415111514_large.jpg?v=1744705189,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g9b305a82,
7923801849916,6932965523516,,"₪1,000","₪2,500",ראשון לציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010288_20250424175448_large.jpg?v=1745506513,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010288_20250424175448_large.jpg?v=1745506513,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-4674,
7993212731452,6777273286716,,"₪1,000",,חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010242_20250424152319_large.jpg?v=1745497584,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010242_20250424152319_large.jpg?v=1745497584,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופני-קרטינג-2,
7875403481148,7186433867836,,"₪1,100",,עין כרמל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010805_20241211155900_large.jpg?v=1733925566,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010805_20241211155900_large.jpg?v=1733925566,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופני-סינגל-ספיד-12,
7913190654012,7152009838652,,"₪1,100","₪1,400",רעננה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010881_20250424143058_large.jpg?v=1745494281,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010881_20250424143058_large.jpg?v=1745494281,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניי-bmx-מקצועיות,
7989884256316,7067509719100,,"₪1,900",,רמלה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010545_20250420180530_large.jpg?v=1745161926,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010545_20250420180530_large.jpg?v=1745161926,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופנים-603,
7993185271868,6748317319228,,"₪1,300",,ראשון לציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010539_20250424135157_large.jpg?v=1745492086,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010539_20250424135157_large.jpg?v=1745492086,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-חשמלי-rider-m2-pro-23,
7993167904828,7223508631612,,"₪1,000",,פרדס חנה כרכור,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010505_20250424124241_large.jpg?v=1745488241,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010505_20250424124241_large.jpg?v=1745488241,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-שיומי-עם-אחריות,
7946371334204,7350265315388,,"₪1,000","₪1,200",ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010432_20250423102405_large.jpg?v=1745393078,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010432_20250423102405_large.jpg?v=1745393078,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g6bb5a49f,
7993151717436,6669696467004,,"₪1,900",,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010859_20250424114820_large.jpg?v=1745485245,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010859_20250424114820_large.jpg?v=1745485245,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-ga3f5e02d,
7984448733244,6858451288124,,"₪1,300","₪1,400",רמת גן,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010090_20250423221829_large.jpg?v=1745435940,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010090_20250423221829_large.jpg?v=1745435940,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליות-2231,
7957688057916,6665312665660,,"₪1,200",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010566_20250316163716_large.jpg?v=1742135910,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010566_20250316163716_large.jpg?v=1742135910,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/פעלולים-1,
7992583553084,7440867295292,,"₪1,500",,דימונה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010314_20250423213623_large.jpg?v=1745433757,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010314_20250423213623_large.jpg?v=1745433757,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/נינג-ה-קורקינט-חשמלי,
7992516640828,7429446533180,,"₪1,500",,כפר סבא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010762_20250423200710_large.jpg?v=1745428199,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010762_20250423200710_large.jpg?v=1745428199,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-חשמלי-4303,
7992508579900,7440705781820,,"₪1,200",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010206_20250423191440_large.jpg?v=1745427409,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010206_20250423191440_large.jpg?v=1745427409,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-rainbow-freeway,
7992497864764,7440712007740,,"₪1,800",,נשר,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010255_20250423191926_large.jpg?v=1745425873,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010255_20250423191926_large.jpg?v=1745425873,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-5682,
7992472961084,7440619536444,,"₪2,000",,אור עקיבא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010424_20250423180750_large.jpg?v=1745421472,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010424_20250423180750_large.jpg?v=1745421472,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליות-2310,
