title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו B4/לגאסי,R אוט׳ סדאן 4 דל 2.0 (150 כ״ס) [2007-2009],2008 • יד 3,,"3,000 ₪",,https://www.yad2.co.il://item/cwji6fjh,https://img.yad2.co.il/Pic/202503/05/1_1/o/y2_1pa_010634_20250305175233.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ 1.5 (105 כ״ס),2007 • יד 2,,"7,000 ₪",,https://www.yad2.co.il://item/ptlull99,https://img.yad2.co.il/Pic/202412/17/1_1/o/y2_1_03229_20241217230205.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6 Kyoto אוט׳ 1.6 (114 כ״ס),2017 • יד 3,,"4,500 ₪",,https://www.yad2.co.il://item/34scr8ua,https://img.yad2.co.il/Pic/202504/23/1_1/o/y2_1pa_010118_20250423215152.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2015 • יד 2,,"63,000 ₪",,https://www.yad2.co.il://item/8q6x04t7,https://img.yad2.co.il/Pic/202504/26/1_3/o/y2_1pa_010530_20250426234352.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2010 • יד 2,,"10,000 ₪",,https://www.yad2.co.il://item/bjxzrcem,
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2012-2016],2013 • יד 3,,"25,500 ₪",,https://www.yad2.co.il://item/ck3oe6qr,https://img.yad2.co.il/Pic/202504/26/1_1/o/y2_1pa_010498_20250426210225.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Top אוט׳ 2.0 (150 כ״ס) [2009-2012],2010 • יד 2,,"16,000 ₪",,https://www.yad2.co.il://item/l8jy2ex2,https://img.yad2.co.il/Pic/202504/26/1_1/o/y2_1pa_010764_20250426203005.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2020 • יד 1,,"152,700 ₪",,https://www.yad2.co.il://item/t0u81p1h,https://img.yad2.co.il/Pic/202504/01/1_3/o/y2_1pa_010951_20250401181000.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ 1.5 (105 כ״ס),2008 • יד 3,,"6,000 ₪",,https://www.yad2.co.il://item/4i2pl5yv,https://img.yad2.co.il/Pic/202504/26/1_1/o/y2_1_04772_20250426195556.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 1.6 (114 כ״ס) [2016-2019],2018 • יד 3,,"62,000 ₪",,https://www.yad2.co.il://item/m9fj2i53,https://img.yad2.co.il/Pic/202504/23/1_1/o/y2_1pa_010121_20250423112318.jpeg?w=3840&h=3840&c=9
